State,District,Date,Year,Month,Avg_rainfall,Agency_name
Andhra Pradesh,Srikakulam,2021-05-04,2021,5,2.804321306,IMD GRID MODEL
Andhra Pradesh,Srikakulam,2021-05-07,2021,5,0.0,IMD GRID MODEL
Andhra Pradesh,Srikakulam,2021-05-11,2021,5,1.294648582,IMD GRID MODEL
Andhra Pradesh,Srikakulam,2021-05-14,2021,5,6.102225163,IMD GRID MODEL
Andhra Pradesh,Srikakulam,2021-05-20,2021,5,0.0,IMD GRID MODEL
Andhra Pradesh,Srikakulam,2021-05-27,2021,5,0.0,IMD GRID MODEL
Andhra Pradesh,Srikakulam,2021-06-02,2021,6,0.0,IMD GRID MODEL
Andhra Pradesh,Srikakulam,2021-06-03,2021,6,20.45679409,IMD GRID MODEL
Andhra Pradesh,Srikakulam,2021-06-21,2021,6,0.0,IMD GRID MODEL
Andhra Pradesh,Srikakulam,2021-07-05,2021,7,7.756145261,IMD GRID MODEL
Andhra Pradesh,Srikakulam,2021-07-15,2021,7,15.83276246,IMD GRID MODEL
Andhra Pradesh,Srikakulam,2021-07-16,2021,7,2.384371735,IMD GRID MODEL
Andhra Pradesh,Srikakulam,2021-07-17,2021,7,0.074214137,IMD GRID MODEL
Andhra Pradesh,Srikakulam,2021-07-19,2021,7,1.207431069,IMD GRID MODEL
Andhra Pradesh,Srikakulam,2021-07-21,2021,7,23.26099016,IMD GRID MODEL
Andhra Pradesh,Srikakulam,2021-07-23,2021,7,0.72914866,IMD GRID MODEL
Andhra Pradesh,Srikakulam,2021-07-14,2021,7,29.47142507,IMD GRID MODEL
Andhra Pradesh,Srikakulam,2021-07-26,2021,7,0.069197644,IMD GRID MODEL
Andhra Pradesh,Srikakulam,2021-07-31,2021,7,0.05614392,IMD GRID MODEL
Andhra Pradesh,Srikakulam,2021-08-01,2021,8,0.029218386,IMD GRID MODEL
Andhra Pradesh,Srikakulam,2021-08-06,2021,8,0.437338784,IMD GRID MODEL
Andhra Pradesh,Srikakulam,2021-08-14,2021,8,1.514684533,IMD GRID MODEL
Andhra Pradesh,Srikakulam,2021-08-19,2021,8,1.891319355,IMD GRID MODEL
Andhra Pradesh,Srikakulam,2021-08-26,2021,8,13.47933987,IMD GRID MODEL
Andhra Pradesh,Srikakulam,2021-08-30,2021,8,17.50033925,IMD GRID MODEL
Andhra Pradesh,Srikakulam,2021-08-31,2021,8,12.93780273,IMD GRID MODEL
Andhra Pradesh,Srikakulam,2021-09-02,2021,9,0.24981024,IMD GRID MODEL
Andhra Pradesh,Srikakulam,2021-09-04,2021,9,0.919733927,IMD GRID MODEL
Andhra Pradesh,Srikakulam,2021-09-16,2021,9,0.683585836,IMD GRID MODEL
Andhra Pradesh,Srikakulam,2021-09-23,2021,9,0.75915504,IMD GRID MODEL
Andhra Pradesh,Srikakulam,2021-10-02,2021,10,0.311461325,IMD GRID MODEL
Andhra Pradesh,Srikakulam,2021-10-06,2021,10,1.591948009,IMD GRID MODEL
Andhra Pradesh,Srikakulam,2021-10-13,2021,10,0.048590475,IMD GRID MODEL
Andhra Pradesh,Srikakulam,2021-10-14,2021,10,0.0,IMD GRID MODEL
Andhra Pradesh,Srikakulam,2021-10-18,2021,10,0.053531827,IMD GRID MODEL
Andhra Pradesh,Srikakulam,2021-10-19,2021,10,6.925643776,IMD GRID MODEL
Andhra Pradesh,Srikakulam,2021-10-30,2021,10,10.69430096,IMD GRID MODEL
Andhra Pradesh,Srikakulam,2021-11-05,2021,11,0.051531767,IMD GRID MODEL
Andhra Pradesh,Srikakulam,2021-11-08,2021,11,0.0,IMD GRID MODEL
Andhra Pradesh,Srikakulam,2021-11-15,2021,11,1.945240076,IMD GRID MODEL
Andhra Pradesh,Srikakulam,2021-11-17,2021,11,0.479616974,IMD GRID MODEL
Andhra Pradesh,Srikakulam,2021-11-23,2021,11,5.895483953,IMD GRID MODEL
Andhra Pradesh,Srikakulam,2021-11-24,2021,11,0.249872179,IMD GRID MODEL
Andhra Pradesh,Srikakulam,2021-11-29,2021,11,0.0,IMD GRID MODEL
Andhra Pradesh,Srikakulam,2021-12-07,2021,12,0.006491386,IMD GRID MODEL
Andhra Pradesh,Srikakulam,2021-12-11,2021,12,0.0,IMD GRID MODEL
Andhra Pradesh,Srikakulam,2021-12-13,2021,12,0.0,IMD GRID MODEL
Andhra Pradesh,Srikakulam,2021-12-21,2021,12,0.0,IMD GRID MODEL
Andhra Pradesh,Visakhapatnam,2021-01-09,2021,1,0.0,IMD GRID MODEL
Andhra Pradesh,Visakhapatnam,2021-01-16,2021,1,0.0,IMD GRID MODEL
Andhra Pradesh,Visakhapatnam,2021-01-18,2021,1,0.0,IMD GRID MODEL
Andhra Pradesh,Visakhapatnam,2021-01-19,2021,1,0.0,IMD GRID MODEL
Andhra Pradesh,Visakhapatnam,2021-01-20,2021,1,0.0,IMD GRID MODEL
Andhra Pradesh,Visakhapatnam,2021-01-22,2021,1,0.0,IMD GRID MODEL
Andhra Pradesh,Visakhapatnam,2021-01-28,2021,1,0.0,IMD GRID MODEL
Andhra Pradesh,Visakhapatnam,2021-01-30,2021,1,0.0,IMD GRID MODEL
Andhra Pradesh,Visakhapatnam,2021-01-31,2021,1,0.074872709,IMD GRID MODEL
Andhra Pradesh,Visakhapatnam,2021-02-03,2021,2,0.0,IMD GRID MODEL
Andhra Pradesh,Visakhapatnam,2021-02-04,2021,2,0.0,IMD GRID MODEL
Andhra Pradesh,Visakhapatnam,2021-02-13,2021,2,0.0,IMD GRID MODEL
Andhra Pradesh,Visakhapatnam,2021-02-18,2021,2,0.0,IMD GRID MODEL
Andhra Pradesh,Visakhapatnam,2021-02-20,2021,2,0.0,IMD GRID MODEL
Andhra Pradesh,Visakhapatnam,2021-03-16,2021,3,0.0,IMD GRID MODEL
Andhra Pradesh,Visakhapatnam,2021-03-20,2021,3,0.0,IMD GRID MODEL
